<<<<<<< HEAD
,user_id,item_id,cat_id,merchant_id,brand_id,time_stamp,action_type,label,unique_categories,unique_merchants,unique_brands,click_to_purchase_ratio,age_range,gender,unique_users,add_to_cart_to_purchase_ratio,add_to_favorites_to_purchase_ratio,interaction_count,average_time_between_interactions,clicks,add_to_cart,purchases,add_to_favorites,days_since_last_interaction,days_since_first_interaction,day_of_week,0,1,2,3,age_range_to_gender_interaction_count,ltv,previous_purchase_count,time_since_last_purchase,average_order_value,average_days_between_purchases,promo_engagement,cat_affinity,pages_viewed
126,101818,368,1611,1816,2044.0,1111,0,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,0,2,0,0,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
127,101818,368,1611,1816,2044.0,1111,0,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,4,1,0,0,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
128,101818,368,1611,1816,2044.0,1111,0,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,6,2,0,1,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
129,101818,368,1611,1816,2044.0,1111,2,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,0,2,0,0,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
130,101818,368,1611,1816,2044.0,1111,2,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,4,1,0,0,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
131,101818,368,1611,1816,2044.0,1111,2,0,1,1,1,0.2,0.0,1.0,295,18.0,0.972972972972973,6,1.4,5,0,1,0,0,7,6,2,0,1,0,6,18,18,7,1.0,0.4117647058823529,3,18,90
132,363032,424,662,3432,5093.0,1111,2,0,1,1,1,0.25,6.0,0.0,254,0.0,1.08,5,0.0,4,0,1,0,0,0,6,4,0,1,0,5,5,5,0,1.0,0.0,1,5,20
133,363032,424,662,3432,5093.0,1111,0,0,1,1,1,0.25,6.0,0.0,254,0.0,1.08,5,0.0,4,0,1,0,0,0,6,4,0,1,0,5,5,5,0,1.0,0.0,1,5,20
137,219053,368,1611,1816,2044.0,912,0,1,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,1.6666666666666667,4,0,0,0,55,60,0,1,0,0,0,4,0,8,5,0.0,0.7142857142857143,0,0,32
138,219053,368,1611,1816,2044.0,912,0,1,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,1.6666666666666667,4,0,0,0,55,60,2,3,0,0,0,4,0,8,5,0.0,0.7142857142857143,0,0,32
143,219053,368,1611,1816,2044.0,917,0,1,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,1.6666666666666667,4,0,0,0,55,60,0,1,0,0,0,4,0,8,5,0.0,0.7142857142857143,0,0,32
144,219053,368,1611,1816,2044.0,917,0,1,1,1,1,0.0,3.0,1.0,295,18.0,0.972972972972973,4,1.6666666666666667,4,0,0,0,55,60,2,3,0,0,0,4,0,8,5,0.0,0.7142857142857143,0,0,32
145,387486,408,1388,4659,7628.0,930,3,0,1,1,1,0.0,2.0,0.0,13,0.0,0.0,1,0.0,0,0,0,1,42,42,6,0,0,0,1,1,0,1,0,0.0,0.0,0,0,0
146,131590,368,1611,1816,2044.0,1016,0,1,1,1,1,0.0,0.0,0.0,295,18.0,0.972972972972973,6,5.2,6,0,0,0,0,26,1,1,0,0,0,6,0,12,95,0.0,8.636363636363637,0,0,72
147,131590,368,1611,1816,2044.0,1016,0,1,1,1,1,0.0,0.0,0.0,295,18.0,0.972972972972973,6,5.2,6,0,0,0,0,26,6,5,0,0,0,6,0,12,95,0.0,8.636363636363637,0,0,72
148,131590,368,1611,1816,2044.0,1111,0,1,1,1,1,0.0,0.0,0.0,295,18.0,0.972972972972973,6,5.2,6,0,0,0,0,26,1,1,0,0,0,6,0,12,95,0.0,8.636363636363637,0,0,72
149,131590,368,1611,1816,2044.0,1111,0,1,1,1,1,0.0,0.0,0.0,295,18.0,0.972972972972973,6,5.2,6,0,0,0,0,26,6,5,0,0,0,6,0,12,95,0.0,8.636363636363637,0,0,72
158,134023,424,662,3432,5093.0,1109,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,1,0,0,0,1,5,20,20,5,1.0,0.10526315789473684,4,20,60
159,134023,424,662,3432,5093.0,1109,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,4,2,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
160,134023,424,662,3432,5093.0,1109,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,5,1,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
161,134023,424,662,3432,5093.0,1109,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,6,0,0,1,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
166,134023,424,662,3432,5093.0,1110,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,1,0,0,0,1,5,20,20,5,1.0,0.10526315789473684,4,20,60
167,134023,424,662,3432,5093.0,1110,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,4,2,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
168,134023,424,662,3432,5093.0,1110,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,5,1,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
169,134023,424,662,3432,5093.0,1110,0,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,6,0,0,1,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
170,134023,424,662,3432,5093.0,1106,3,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,1,0,0,0,1,5,20,20,5,1.0,0.10526315789473684,4,20,60
171,134023,424,662,3432,5093.0,1106,3,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,4,2,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
172,134023,424,662,3432,5093.0,1106,3,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,5,1,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
173,134023,424,662,3432,5093.0,1106,3,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,6,0,0,1,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
174,134023,424,662,3432,5093.0,1111,2,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,1,0,0,0,1,5,20,20,5,1.0,0.10526315789473684,4,20,60
175,134023,424,662,3432,5093.0,1111,2,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,4,2,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
176,134023,424,662,3432,5093.0,1111,2,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,5,1,0,0,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
177,134023,424,662,3432,5093.0,1111,2,1,1,1,1,0.3333333333333333,6.0,0.0,254,0.0,1.08,5,1.25,3,0,1,1,0,5,6,0,0,1,0,5,20,20,5,1.0,0.10526315789473684,4,20,60
178,5979,395,1256,548,8123.0,1011,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,3,2,0,0,0,5,0,15,98,0.0,7.0,0,0,75
179,5979,395,1256,548,8123.0,1011,0,0,1,1,1,0.0,4.0,0.0,4,0.0,0.0,5,7.25,5,0,0,0,2,31,4,1,0,0,0,5,0,15,98,0.0,7.0,0,0,75
